"profile id","#friends","#following","#community","age","#postshared","#urlshared","#photos/videos","fpurls","fpphotos/videos","avgcomment/post","likes/post","tags/post","#tags/post","Label"
"1","39","300","907","200","1000","850","922","0.49","0.55","0.56","0.47","40","14","1"
"2","150","350","30","300","300","100","290","0.33","0.96","0.5","1.2","10","4","0"
"3","300","450","50","465","500","150","450","0.2","0.84","0.4","1.5","15","7","0"
"4","25","110","660","350","2050","2000","2050","0.97560975609756","1","0.7","0.3","54","21","1"
"5","24","100","150","800","950","1000","900","1.0526315789474","0.94736842105263","0.66","0.5","55","20","1"
"6","562","350","55","650","450","250","900","0.55555555555556","2","0.42","2.2","15","10","0"
"7","662","454","22","764","365","100","1000","0.27397260273973","2.7397260273973","0.31","2.5","23","10","0"
"8","50","100","700","350","2512","2000","2400","0.79617834394904","0.95541401273885","0.77","0.32","58","32","1"
"9","800","550","66","850","460","500","300","1.0869565217391","0.65217391304348","0.4","2","23","10","0"
"10","605","555","58","782","700","100","650","0.14285714285714","0.92857142857143","0.24","2.8","13","5","0"
"11","1005","380","13","1250","561","132","530","0.23529411764706","0.94474153297683","0.1","1.6","16","4","0"
"12","1632","560","84","651","789","87","760","0.11026615969582","0.96324461343473","0.46","1.9","35","12","0"
"13","2461","643","63","1523","756","123","713","0.16269841269841","0.94312169312169","0.46","2.8","13","17","0"
"14","561","312","46","625","326","65","300","0.19938650306748","0.92024539877301","0.35","2.3","32","15","0"
"15","1143","426","86","956","558","56","500","0.10035842293907","0.89605734767025","0.24","2.1","15","19","0"
"16","784","466","46","423","326","32","300","0.098159509202454","0.92024539877301","0.26","2.5","18","12","0"
"17","146","56","13","125","76","23","65","0.30263157894737","0.85526315789474","0.35","1.3","19","19","0"
"18","894","465","123","565","420","63","400","0.15","0.95238095238095","0.482","1","25","11","0"
"19","463","143","32","421","186","50","168","0.26881720430108","0.90322580645161","0.38","1.4","23","16","0"
"20","1164","786","46","864","546","95","500","0.17399267399267","0.91575091575092","0.36","1.5","29","13","0"
"21","265","165","26","410","130","25","115","0.19230769230769","0.88461538461538","0.32","1.9","26","14","0"
"22","632","164","29","476","331","46","302","0.13897280966767","0.91238670694864","0.41","0.8","27","15","0"
"23","789","652","56","432","187","46","176","0.24598930481283","0.94117647058824","0.57","0.7","29","13","0"
"24","146","138","13","269","138","24","200","0.17391304347826","1.4492753623188","0.38","1.3","27","19","0"
"25","864","975","78","366","214","75","187","0.35046728971963","0.87383177570093","0.33","1.4","19","18","0"
"26","1112","1234","96","846","364","105","300","0.28846153846154","0.82417582417582","0.44","1.9","23","17","0"
"27","1147","1232","87","961","226","42","202","0.1858407079646","0.89380530973451","0.22","1.5","22","19","0"
"28","1135","1542","97","511","444","35","394","0.078828828828829","0.88738738738739","0.32","1.6","16","11","0"
"29","2311","1666","54","964","555","78","500","0.14054054054054","0.9009009009009","0.22","1.1","36","6","0"
"30","1231","1164","88","642","554","32","522","0.057761732851986","0.94223826714801","0.21","0.9","33","10","0"
"31","1133","1124","33","1532","789","123","700","0.15589353612167","0.8871989860583","0.13","0.8","35","11","0"
"32","2321","1532","53","964","884","112","822","0.12669683257919","0.92986425339367","0.25","0.7","33","16","0"
"33","2862","2645","66","1523","562","85","550","0.15124555160142","0.97864768683274","0.16","0.6","22","29","0"
"34","460","323","36","1724","773","99","723","0.1280724450194","0.9353169469599","0.32","1.9","13","23","0"
"35","1386","1245","48","1894","886","84","840","0.094808126410835","0.94808126410835","0.13","1.4","18","18","0"
"36","2678","1648","66","1947","1231","66","1160","0.0536149471974","0.94232331437855","0.364","2","33","15","0"
"37","2216","1894","51","2697","1226","49","956","0.039967373572594","0.77977161500816","0.268","2.1","35","14","0"
"38","2649","2131","25","2246","1500","46","1463","0.030666666666667","0.97533333333333","0.21","1.6","26","13","0"
"39","2134","2364","33","2164","1700","68","1532","0.04","0.90117647058824","0.22","1.8","21","11","0"
"40","1123","1150","115","2246","1460","56","1163","0.038356164383562","0.79657534246575","0.33","1.1","22","5","0"
"41","1009","1123","32","1423","1112","36","635","0.032374100719424","0.57104316546763","0.321","1.88","36","4","0"
"42","1100","1356","49","1200","800","24","750","0.03","0.9375","0.213","1.4","24","9","0"
"43","149","153","26","264","108","28","99","0.25925925925926","0.91666666666667","0.13","1.6","11","11","0"
"44","1489","1009","45","365","321","58","300","0.18068535825545","0.93457943925234","0.18","1.8","14","13","0"
"45","1444","1564","63","225","210","21","210","0.1","1","0.11","1.3","23","16","0"
"46","1563","1142","31","606","521","55","500","0.10556621880998","0.95969289827255","0.09","0.99","19","13","0"
"47","2120","2130","39","753","650","85","623","0.13076923076923","0.95846153846154","0.095","0.85","13","10","0"
"48","3261","3225","84","798","564","96","546","0.17021276595745","0.96808510638298","0.32","0.75","22","15","0"
"49","1231","1364","59","465","336","87","301","0.25892857142857","0.89583333333333","0.21","0.87","28","16","0"
"50","889","1003","42","550","460","56","440","0.12173913043478","0.95652173913043","0.13","0.75","32","16","0"
"51","223","130","12","365","130","13","115","0.1","0.88461538461538","0.236","0.886","29","18","0"
"52","332","321","13","421","183","23","175","0.12568306010929","0.95628415300546","0.313","0.889","21","12","0"
"53","2135","2364","54","1005","786","150","760","0.19083969465649","0.96692111959288","0.42","0.66","34","16","0"
"54","3305","4510","168","1543","864","166","800","0.19212962962963","0.92592592592593","0.156","0.78","31","10","0"
"55","4462","5312","113","665","512","87","495","0.169921875","0.966796875","0.28","0.99","38","9","0"
"56","5554","4231","85","980","602","84","560","0.13953488372093","0.93023255813953","0.16","1.6","25","11","0"
"57","654","461","49","1520","1231","186","941","0.15109666937449","0.76441917140536","0.12","1.9","18","15","0"
"58","1546","1243","88","645","547","62","431","0.11334552102377","0.78793418647166","0.35","1.1","26","14","0"
"59","1143","987","65","1546","786","112","653","0.14249363867684","0.83078880407125","0.34","1.4","21","13","0"
"60","463","465","36","1502","623","68","581","0.1091492776886","0.93258426966292","0.292","1.4","14","10","0"
"61","561","482","32","1645","658","66","599","0.10030395136778","0.91033","0.223","1.2","13","11","0"
"62","1325","1123","45","1895","633","89","593","0.14060031595577","0.93680884676145","0.23","1.6","32","7","0"
"63","254","195","24","956","764","105","690","0.13743455497382","0.90314136125654","0.33","1.5","42","17","0"
"64","336","226","22","869","321","43","300","0.13395638629283","0.93457943925234","0.54","1.59","43","18","0"
"65","4563","3261","59","1235","1200","86","900","0.071666666666667","0.75","0.55","1.8","46","19","0"
"66","1500","1643","45","1356","546","56","536","0.1025641025641","0.98168498168498","0.468","0.9","44","13","0"
"67","1623","1123","79","1130","697","78","580","0.11190817790531","0.83213773314204","0.33","0.7","29","16","0"
"68","1395","1234","66","1392","632","73","600","0.11550632911392","0.94936708860759","0.36","1.1","22","9","0"
"69","923","726","23","1396","586","43","570","0.073378839590444","0.97269624573379","0.346","0.9","35","14","0"
"70","1203","1132","32","1143","623","43","610","0.069020866773676","0.97913322632424","0.28","1.23","36","15","0"
"71","664","632","56","1236","756","56","710","0.074074074074074","0.93915343915344","0.531","1.3","38","11","0"
"72","536","633","51","1632","846","59","800","0.069739952718676","0.94562647754137","0.61","0.7","41","10","0"
"73","1300","1423","76","1752","541","63","521","0.11645101663586","0.9630314232902","0.55","1.32","31","8","0"
"74","751","921","56","1364","663","66","883","0.099547511312217","1.3318250377074","0.41","0.86","45","18","0"
"75","668","1354","39","1463","786","84","751","0.10687022900763","0.95547073791349","0.38","1.87","46","13","0"
"76","1330","2513","54","846","656","76","610","0.11585365853659","0.92987804878049","0.36","1.2","34","19","0"
"77","789","954","74","946","746","43","701","0.057640750670241","0.93967828418231","0.028","1.5","37","13","0"
"78","331","456","26","786","689","58","652","0.084179970972424","0.94629898403483","0.456","1.6","38","18","0"
"79","456","586","46","843","695","38","653","0.054676258992806","0.93956834532374","0.54","0.95","27","17","0"
"80","745","568","48","694","497","39","485","0.078470824949698","0.97585513078471","0.38","0.86","38","10","0"
"81","1234","2146","39","846","486","28","470","0.05761316872428","0.96707818930041","0.33","0.98","34","6","0"
"82","1843","2543","77","1431","840","53","752","0.063095238095238","0.8952380952381","0.52","0.96","26","5","0"
"83","1543","2438","67","1321","742","42","684","0.056603773584906","0.92183288409704","0.34","0.95","32","13","0"
"84","1324","2164","57","1124","646","39","587","0.060371517027864","0.90866873065015","0.45","0.85","29","9","0"
"85","792","594","59","1315","759","41","598","0.054018445322793","0.78787878787879","0.38","0.89","39","18","0"
"86","864","601","71","1413","854","48","761","0.056206088992974","0.89110070257611","0.36","0.94","43","16","0"
"87","954","524","69","1312","921","52","841","0.056460369163952","0.91313789359392","0.27","0.83","41","12","0"
"88","915","2042","74","1049","741","27","661","0.036437246963563","0.89203778677463","0.19","0.73","12","4","0"
"89","892","1469","54","981","648","26","564","0.040123456790123","0.87037037037037","0.56","0.76","17","10","0"
"90","1132","1328","68","943","923","23","843","0.024918743228602","0.91332611050921","0.58","0.81","31","19","0"
"91","1245","1542","89","962","925","51","846","0.055135135135135","0.91459459459459","0.65","0.86","36","17","0"
"92","1169","1432","81","849","929","61","851","0.065662002152853","0.91603875134553","0.64","0.74","49","5","0"
"93","1236","1321","73","1032","498","63","404","0.12650602409639","0.81124497991968","0.72","0.98","48","6","0"
"94","1289","1214","56","1021","484","73","399","0.15082644628099","0.82438016528926","0.43","0.79","39","8","0"
"95","919","1239","52","1026","659","43","574","0.065250379362671","0.87101669195751","0.32","0.88","18","14","0"
"96","1019","693","43","837","743","41","651","0.055181695827725","0.87617765814266","0.59","0.93","19","11","0"
"97","1021","961","68","1129","793","59","710","0.074401008827238","0.8953341740227","0.69","0.97","11","9","0"
"98","971","2049","38","1034","894","79","812","0.088366890380313","0.9082774049217","0.49","0.87","25","12","0"
"99","977","2324","54","1023","991","68","911","0.0686175580222","0.91927346115035","0.56","0.88","15","7","0"
"100","1029","1694","64","1079","994","29","913","0.029175050301811","0.91851106639839","0.43","0.96","42","18","0"
"101","1021","1789","57","1129","998","72","924","0.072144288577154","0.92585170340681","0.26","0.97","33","17","0"
"102","1432","1876","75","1364","769","69","703","0.089726918075423","0.91417425227568","0.46","0.88","37","13","0"
"103","1176","1234","34","1669","894","65","877","0.072706935123043","0.98098434004474","0.36","1.23","23","16","0"
"104","1236","1546","88","1682","1124","77","1022","0.068505338078292","0.90925266903915","0.66","1.2","35","18","0"
"105","2364","1332","74","1533","1222","56","1200","0.04582651391162","0.98199672667758","0.33","1.8","41","19","0"
"106","961","1236","56","1462","1234","58","910","0.047001620745543","0.73743922204214","0.432","1.5","39","17","0"
"107","541","663","54","1100","953","65","923","0.068205666316894","0.9685204616999","0.34","1.6","34","18","0"
"108","744","841","46","1200","846","65","800","0.076832151300236","0.94562647754137","0.36","1.44","36","17","0"
"109","465","665","21","721","364","32","321","0.087912087912088","0","0.22","1.5","32","21","0"
"110","321","412","22","754","846","35","301","0.041371158392435","0.35579196217494","0.24","1.3","26","13","0"
"111","891","1156","89","763","961","81","754","0.084287200832466","0.78459937565036","0.126","1.1","40","24","0"
"112","794","1031","76","1123","743","36","732","0.048452220726783","0.98519515477793","0.21","0.99","35","25","0"
"113","864","1041","53","1159","731","34","720","0.046511627906977","0.98495212038304","0.19","1.2","45","15","0"
"114","1489","1051","31","1011","756","58","721","0.076719576719577","0.9537037037037","0.22","0.78","25","9","0"
"115","1568","1249","39","1016","742","59","734","0.079514824797844","0.98921832884097","0.33","0.86","66","8","0"
"116","1768","1159","58","981","954","51","916","0.053459119496855","0.9601677148847","0.56","0.84","86","3","0"
"117","659","781","43","731","951","63","659","0.066246056782334","0.69295478443743","0.11","1.3","76","20","0"
"118","459","794","47","736","1121","69","661","0.061552185548617","0.58965209634255","0.15","1.4","33","19","0"
"119","789","846","49","931","1021","71","900","0.069539666993144","0.88148873653281","0.25","1.21","15","14","0"
"120","1476","1324","29","1143","1011","76","991","0.075173095944609","0.98021760633037","0.35","1.25","95","13","0"
"121","1984","1569","79","1261","1009","81","996","0.080277502477701","0.98711595639247","0.55","1.14","85","23","0"
"122","1324","732","86","1140","1008","89","894","0.088293650793651","0.88690476190476","0.133","1.7","75","10","0"
"123","796","891","69","1104","1003","83","893","0.082751744765703","0.89032901296112","0.159","1.06","55","11","0"
"124","846","863","19","849","1113","49","812","0.044025157232704","0.72955974842767","0.65","0.73","65","17","0"
"125","961","983","81","796","912","47","781","0.051535087719298","0.85635964912281","0.144","0.91","51","19","0"
"126","919","2106","27","1021","917","39","887","0.042529989094875","0.96728462377317","0.125","1.22","31","26","0"
"127","1109","2119","37","945","925","33","911","0.035675675675676","0.98486486486486","0.111","1.05","41","21","0"
"128","1119","969","71","941","915","51","893","0.055737704918033","0.97595628415301","0.13","1.02","81","15","0"
"129","1786","1054","67","1423","1097","21","999","0.019143117593437","0.91066545123063","0.27","0.79","21","26","0"
"130","851","1061","49","1421","1091","53","976","0.048579285059578","0.89459211732356","0.331","0.97","43","21","0"
"131","651","1051","33","1148","926","83","914","0.08963282937365","0.98704103671706","0.221","0.99","33","11","0"
"132","1651","995","39","1230","893","47","887","0.052631578947368","0.993281075028","0.177","0.88","93","21","0"
"133","1743","971","29","1103","1100","73","1069","0.066363636363636","0.97181818181818","0.129","0.83","83","14","0"
"134","1736","2007","78","1109","1009","28","979","0.027750247770069","0.97026759167493","0.35","0.77","76","16","0"
"135","916","2108","26","773","706","64","694","0.090651558073654","0.98300283286119","0.69","1.24","56","9","0"
"136","935","1147","24","775","707","53","681","0.074964639321075","0.96322489391796","0.118","1.23","46","7","0"
