user_id,status_id,screen_name,account.type,class_type
1110407881030017024,1208265880146046976,bot#9,bot,others
3171109449,1091463908118941696,human#17,human,human
1110686081341632512,1199055191028293633,bot#23,bot,others
1110307772783124480,1214698264701722626,bot#1,bot,others
979586167405363200,1209229478934695937,bot#11,bot,rnn
16298441,843661438711484416,human#4,human,human
1148250906166726656,1199866315504308224,bot#2,bot,gpt2
1110407881030017024,1201440906752098305,bot#9,bot,others
56276182,1108396549040594945,human#12,human,human
18839785,1195732108112732160,human#11,human,human
1174980053668524033,1209316264893730816,bot#4,bot,gpt2
25073877,1201532174190571520,human#13,human,human
15088390,1010562395893219328,human#10,human,human
705113652471439361,785297610789773312,bot#16,bot,rnn
1197716977982177280,1199443122759057409,bot#17,bot,gpt2
15088390,1145334221499535362,human#10,human,human
15088390,1188491304331669504,human#10,human,human
979586167405363200,1135090964467347463,bot#11,bot,rnn
1033142532136415232,1185189932677193730,human#2,human,human
15088390,1192863392383393792,human#10,human,human
16298441,1230906679727775745,human#4,human,human
1112323801017008128,1131719669121871872,bot#22,bot,gpt2
901463089622781952,946078372588695552,bot#10,bot,others
262794965,908384906421645313,human#8,human,human
979586167405363200,1122890573516398592,bot#11,bot,rnn
1110407881030017024,1208492370074853376,bot#9,bot,others
1110407881030017024,1203328333448011778,bot#9,bot,others
1197916267975335939,1208141181370208257,bot#12,bot,rnn
979586167405363200,1123826742207156226,bot#11,bot,rnn
979586167405363200,1211192413361823746,bot#11,bot,rnn
721352073925627907,1210849202940465153,human#7,human,human
1197916267975335939,1203973693707366400,bot#12,bot,rnn
979586167405363200,1147502748411162625,bot#11,bot,rnn
1110686081341632512,1165926900008505344,bot#23,bot,others
1197916267975335939,1204067110923706370,bot#12,bot,rnn
25073877,1194033162936102912,human#13,human,human
1197716977982177280,1198300851221225473,bot#17,bot,gpt2
15088390,1109093820925239296,human#10,human,human
1110307772783124480,1175122489220841472,bot#1,bot,others
979586167405363200,1120202863899103233,bot#11,bot,rnn
15088390,1042292638064402432,human#10,human,human
979586167405363200,1208504702716932096,bot#11,bot,rnn
16298441,1109225195309424640,human#4,human,human
1174980053668524033,1206318260695818241,bot#4,bot,gpt2
15088390,1080874603608629248,human#10,human,human
25073877,1210220021433208832,human#13,human,human
1174980053668524033,1195560625478475776,bot#4,bot,gpt2
18839785,1173907955986681856,human#11,human,human
15100219,1227206429511213057,human#6,human,human
16298441,905647561913974785,human#4,human,human
15088390,1108482256941662208,human#10,human,human
18839785,1265477347869769728,human#11,human,human
979586167405363200,1122286593568493568,bot#11,bot,rnn
1218019760669020160,1220738029993779201,bot#13,bot,gpt2
3171109449,1010229333716357121,human#17,human,human
721352073925627907,1220431930912657408,human#7,human,human
25073877,1228338223786680320,human#13,human,human
721352073925627907,1230266952138055680,human#7,human,human
979586167405363200,1201136150565416960,bot#11,bot,rnn
1174980053668524033,1193740129895997440,bot#4,bot,gpt2
1213988022728810496,1214230148888907780,bot#8,bot,gpt2
15100219,1214299758388482052,human#6,human,human
18839785,1184126115767410688,human#11,human,human
1174980053668524033,1180404004586700805,bot#4,bot,gpt2
262794965,932445918191804416,human#8,human,human
1110307772783124480,1182400441230848001,bot#1,bot,others
3171109449,1005852773030744065,human#17,human,human
1174980053668524033,1216912788301455363,bot#4,bot,gpt2
18839785,1141987054760316928,human#11,human,human
1110686081341632512,1157742972034621440,bot#23,bot,others
979586167405363200,1221067483475374080,bot#11,bot,rnn
16298441,871267482694242304,human#4,human,human
979586167405363200,1128175397693050880,bot#11,bot,rnn
15088390,1045867191420108801,human#10,human,human
1197716977982177280,1200585013303099393,bot#17,bot,gpt2
979586167405363200,1159582343767527425,bot#11,bot,rnn
1033142532136415232,1157346646818267137,human#2,human,human
979586167405363200,1186791629463515141,bot#11,bot,rnn
1148250906166726656,1159273772211326977,bot#2,bot,gpt2
1197716977982177280,1199362197555728385,bot#17,bot,gpt2
1218019760669020160,1226415437111578625,bot#13,bot,gpt2
979586167405363200,1161213087443062784,bot#11,bot,rnn
1174980053668524033,1181604163064606721,bot#4,bot,gpt2
1112323801017008128,1131890473734266886,bot#22,bot,gpt2
1110307772783124480,1176224752551092224,bot#1,bot,others
979586167405363200,1176674969016619008,bot#11,bot,rnn
3171109449,1086331661598347265,human#17,human,human
979586167405363200,1123585151231881217,bot#11,bot,rnn
343587159,1224959718378086401,human#1,human,human
25073877,1207151165894471680,human#13,human,human
1110686081341632512,1151642770118856705,bot#23,bot,others
343587159,1138312652302610432,human#1,human,human
1110307772783124480,1177417612679999488,bot#1,bot,others
3171109449,1158801882044928002,human#17,human,human
1110686081341632512,1198904191931928577,bot#23,bot,others
979586167405363200,1207810127824220160,bot#11,bot,rnn
343587159,1191613366462296065,human#1,human,human
721352073925627907,1222927421474660352,human#7,human,human
25073877,1230376522663391232,human#13,human,human
979586167405363200,1187003023916032005,bot#11,bot,rnn
18839785,1251391771365556225,human#11,human,human
1110686081341632512,1144998997540478976,bot#23,bot,others
15100219,1213871604272443398,human#6,human,human
25073877,1215238707848060928,human#13,human,human
721352073925627907,1223833683494260741,human#7,human,human
25073877,1208089516176805888,human#13,human,human
901463089622781952,931915042001338373,bot#10,bot,others
16298441,1144694086785327105,human#4,human,human
1110407881030017024,1198904183652380673,bot#9,bot,others
16298441,1231734884550340608,human#4,human,human
1110307772783124480,1227064751374553089,bot#1,bot,others
1148250906166726656,1213142980455993345,bot#2,bot,gpt2
901463089622781952,946048182764449792,bot#10,bot,others
1197716977982177280,1199223739885539328,bot#17,bot,gpt2
1197916267975335939,1207840612336189440,bot#12,bot,rnn
73100160,1222543690327101441,human#14,human,human
15088390,1198652102400065536,human#10,human,human
343587159,1157352689400832000,human#1,human,human
3171109449,1030489781673832448,human#17,human,human
3171109449,999871263702208512,human#17,human,human
721352073925627907,1213254704819343360,human#7,human,human
25073877,1212126024575660035,human#13,human,human
979586167405363200,1158676374615232514,bot#11,bot,rnn
1110686081341632512,1203494430029672448,bot#23,bot,others
15088390,1127255201788731392,human#10,human,human
15088390,1225833446909476864,human#10,human,human
15088390,1205512498364870656,human#10,human,human
1197716977982177280,1199315900027015168,bot#17,bot,gpt2
18839785,1141985199783211010,human#11,human,human
15088390,1218200806081433601,human#10,human,human
343587159,1143275599357571073,human#1,human,human
1197916267975335939,1209510162597367808,bot#12,bot,rnn
721352073925627907,1227259352655880194,human#7,human,human
25073877,1219420903047479297,human#13,human,human
1148250906166726656,1151650289037873152,bot#2,bot,gpt2
15088390,1053664720165646336,human#10,human,human
25073877,1206581051176435712,human#13,human,human
1110686081341632512,1229737365763063808,bot#23,bot,others
14260960,1267898160875220993,human#9,human,human
1197716977982177280,1198528173308338178,bot#17,bot,gpt2
705113652471439361,757970068303077376,bot#16,bot,rnn
1110307772783124480,1221628931347845120,bot#1,bot,others
25073877,1228442887081295873,human#13,human,human
979586167405363200,1210830025789886465,bot#11,bot,rnn
1174980053668524033,1193770580559810561,bot#4,bot,gpt2
15088390,1122606470149709824,human#10,human,human
16298441,827891720939515904,human#4,human,human
705113652471439361,705903191267938304,bot#16,bot,rnn
1197716977982177280,1205263916596633608,bot#17,bot,gpt2
721352073925627907,1228866185552203776,human#7,human,human
15088390,1187013183438897153,human#10,human,human
721352073925627907,1217889694836391936,human#7,human,human
1110686081341632512,1196578868573814784,bot#23,bot,others
1110307772783124480,1188364744823988224,bot#1,bot,others
15088390,1186158752396763137,human#10,human,human
1197716977982177280,1199226315926360064,bot#17,bot,gpt2
295218901,1089191853344215040,human#16,human,human
1110686081341632512,1148743675133829122,bot#23,bot,others
14260960,1157318239988396032,human#9,human,human
979586167405363200,1210195846387490816,bot#11,bot,rnn
721352073925627907,1228152676338155521,human#7,human,human
1197716977982177280,1199636614202482688,bot#17,bot,gpt2
1197716977982177280,1198322208516583424,bot#17,bot,gpt2
1110686081341632512,1128993531425460224,bot#23,bot,others
721352073925627907,1220514971118817280,human#7,human,human
343587159,1164383168410996736,human#1,human,human
901463089622781952,932730419711111168,bot#10,bot,others
901463089622781952,948524493621702656,bot#10,bot,others
1174980053668524033,1192637868352557056,bot#4,bot,gpt2
